+-----+--------------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                             |
|74   |performed, uproot, designated, presumably, leah, namely, temporarily, family, tit, announcement         |
|75   |sadducee, utensils, offender, alleyway, hurry, gamliel, rabban, involving, unwitting, gentile           |
|76   |ditch, hay, nullified, sealed, fingerbreadths, sash, worn, house, three, haystack                       |
|77   |woman, women, husband, marriage, marry, children, betrothed, months, brother, relations                 |
|78   |creeping, carcass, animal, impurity, temple, wells, heker, prophets, girdle, delay                      |
|79   |path, limits, field, elijah, prohibition, young, boat, shabbat, messiah, scroll                         |
|80   |retroactive, designation, huts, principle, allowance, yosei, coin, apply, wine, tosefta                 |
|81   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|82   |cross, beams, bring, brick, beam, receive, small, sufficient, narrow, along                             |
|83   |mine, declare, residue, mount, ayin, etc, soul, demonstrating, preferred, taste                         |
|84   |peg, stand, locales, walking, innermost, rock, classes, mission, studying, sentenced                    |
|85   |clouds, ocean, festival, rain, acquire, formed, fell, water, residence, eve                             |
|86   |comment, graze, strength, drug, load, using, heavy, hang, constructed, bathe                            |
|87   |merely, virtue, control, observance, galilee, consent, rents, older, thoroughfare, insufficient         |
|88   |window, permanent, loaf, ladder, occupied, temporary, unconsecrated, na, man, tomorrow                  |
|89   |subsumed, limits, thousand, cave, walk, roof, entrances, across, relied, significant                    |
|90   |bag, buy, wine, fermented, graceful, mead, interprets, grape, exposition, verse                         |
|91   |farmers, washed, midday, ordinance, court, cord, defeated, thoughts, widely, independently              |
|92   |mixing, cows, inconvenient, popular, shawl, whether, burnt, shabbat, peruta, defined                    |
|93   |adjustment, biblical, regular, absent, accord, dressed, remind, wrapped, rolls, balconies               |
|94   |cornice, baraitot, contradict, reconcile, subject, avuh, amaltera, lowered, states, ama                 |
|95   |blessing, time, kippur, yom, recite, days, commandment, huts, recited, bound                            |
|96   |unknowingly, grave, shed, initially, residue, buried, menstruating, enable, clarifying, widow           |
|97   |possibility, terminated, gardens, informing, fermented, goes, enactment, peace, dosa, structures        |
|98   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|99   |vis, enclosed, stay, warm, precarious, nearly, consent, seller, spoken, cited                           |
|100  |rulings, detail, ruled, taddai, meir, stringencies, reason, rationale, detailed, specific               |
|101  |verse, sacrificial, diminished, us, perspective, times, correct, absorbed, enclose, answer              |
|102  |serving, roof, isda, cassia, renounce, ones, air, sealed, og, determines                                |
|103  |ruin, oshaya, service, stolen, week, domains, teachings, yishmael, owner, studying                      |
|104  |circle, marker, conspicuous, presumption, agent, square, circumference, agency, fulfills, omer          |
|105  |string, gehenna, fire, bow, knot, tie, mitzva, tying, sinners, performance                              |
|106  |et, grape, intervene, stores, since, lost, belong, religious, imaginary, severity                       |
|107  |corpse, protest, entrances, larger, master, stored, wife, eiruv, family, husband                        |
|108  |boat, wished, fixed, stringent, ashi, stationary, im, imply, upon, discusses                            |
|109  |define, financial, alighted, speaking, verses, lift, g, determined, vessel, judea                       |
|110  |unknown, drain, elders, told, blessed, donkey, warp, roof, veil, halfway                                |
|111  |wife, dark, grew, knowledge, inform, traveling, dons, trunk, wear, sin                                  |
|112  |radish, beneficial, die, topic, praises, pleasant, life, half, prayer, beet                             |
|113  |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|114  |zakkai, caught, round, joined, 8, desired, berechiah, arugula, instances, thought                       |
|115  |sheep, fleece, oxen, bought, together, brine, money, hide, second, tithe                                |
|116  |concern, retain, proverbs, otherwise, opposing, unto, gone, clarifying, nuts, applying                  |
|117  |new, moon, prayer, hour, year, day, hours, season, mention, seven                                       |
|118  |selah, desire, forever, 16, request, lips, withheld, va, written, verbally                              |
|119  |avuh, relies, scribes, cubits, roof, stringently, structure, begins, heat, peruta                       |
|120  |field, general, thumb, precisely, sort, encamp, agrees, customs, fundamental, donning                   |
|121  |roof, enclosure, se, carry, roofs, area, beit, mound, domains, move                                     |
|122  |tithe, redeemed, fruit, tithes, second, unripe, tithing, palm, separated, bitter                        |
|123  |disciple, yishmael, students, minds, praised, matter, unlikely, akiva, attempt, err                     |
|124  |plaster, sha, certain, bones, specifying, follows, tax, inconvenient, four, initio                      |
|125  |wine, tent, oil, buy, spread, log, payment, temporary, money, cup                                       |
|126  |returned, limit, mother, ya, gentiles, akov, confer, beyond, possession, original                       |
|127  |today, weekday, ordinary, hashana, rosh, barrier, festival, dosa, day, tomorrow                         |
|128  |shutter, temporary, told, acts, narrative, said, confines, arugula, large, amar                         |
|129  |wound, offering, forbade, simple, discussion, added, bandits, causes, purpose, deposit                  |
|130  |yard, sound, food, righteous, eighteen, written, fish, earth, face, world                               |
|131  |cistern, water, draw, embankment, near, balcony, levites, lowering, cities, surface                     |
|132  |divorce, scroll, bill, creature, write, hagelili, living, written, severance, wife                      |
|133  |aaron, moses, lesson, sons, elders, bow, sections, entered, times, oral                                 |
|134  |runs, enclosure, continued, enjoys, get, neighbors, violating, enemies, david, vertically               |
|135  |hand, mouth, gutter, catch, roof, pipe, handbreadths, vessel, domain, press                             |
|136  |strength, compartments, mesifas, contribution, separate, partitions, group, permissive, turn, reach     |
|137  |alleyways, merging, alleyway, residents, participate, courtyards, courtyard, eiruv, establish, neighbors|
|138  |salt, feed, demai, camp, hands, military, poor, beer, water, onion                                      |
|139  |refrain, categorized, lives, menstruating, kiddush, homiletically, compare, unique, rolling, prevent    |
|140  |pelandarsin, detached, nests, perforated, kor, tell, ownerless, crime, dons, balcony                    |
|141  |pavilion, perida, unsure, meticulous, enclosed, hanasi, length, treat, fasting, spirit                  |
|142  |priest, grave, fields, plowed, haperas, field, impure, become, ritually, yisrael                        |
|143  |eiruvin, distinctions, containers, roll, offerings, adjust, gathered, lengthy, rest, ordinance          |
|144  |surprised, rate, military, prophecy, pours, sun, sprinkle, ritually, hang, slightly                     |
|145  |upper, balcony, residents, lower, segment, use, standing, alleyway, cubit, partition                    |
|146  |afar, ocean, possible, among, enclosure, exert, 8, berurya, gradually, halakha                          |
|147  |priests, enter, blemish, unto, israelites, sheshet, available, levites, isda, holy                      |
|148  |abberin, samuel, david, alef, ayin, priest, ii, famine, cites, anyone                                   |
|149  |corner, round, projection, hundred, brim, bat, city, boundaries, cubits, gain                           |
|150  |using, perform, avtolemos, transgressions, known, word, arrogance, hand, given, acting                  |
|151  |item, display, justification, unable, brilliant, prevalent, consistent, colleagues, ascertain, sages    |
|152  |avivi, reducing, protrusions, squared, city, ashi, aren, circular, delineated, levites                  |
|153  |rights, renounce, favor, courtyard, resident, eiruv, residents, establish, key, renunciation            |
|154  |city, courtyards, middle, eiruv, yo, anan, residents, courtyard, synagogue, ben                         |
|155  |balcony, hangings, slaughtering, joint, nearest, careful, loves, tenant, ava, exiles                    |
|156  |awake, coals, sleeping, elai, kept, tractate, aharonic, girl, hiding, abbahu                            |
|157  |square, cubits, space, open, thousand, total, million, corners, quarter, city                           |
|158  |incur, carves, introduce, expresses, goods, borders, planting, 28, old, locking                         |
|159  |sleep, sleeps, avin, witnesses, master, eats, field, border, deposits, measure                          |
|160  |rivers, unripe, attracts, clarifies, eating, commandments, bold, opposed, omer, stands                  |
|161  |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|162  |desired, relationship, align, forgetting, bill, voice, available, least, remaining, hair                |
|163  |gentile, jew, torah, karpef, body, villages, cities, study, descends, city                              |
|164  |tit, mitzva, preventive, bulks, appoints, disparity, closed, suffices, year, cistern                    |
|165  |benefit, money, apostate, grave, naziriteship, wine, torah, idolatry, important, jug                    |
|166  |genesis, created, adam, eve, built, god, verse, written, male, man                                      |
|167  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|168  |treat, evidently, abundant, middle, marry, waits, innkeeper, ends, hoisting, gives                      |
|169  |broad, abbahu, heavenly, bitter, permanent, gain, stake, mistaken, pertains, shammai                    |
|170  |lengths, wasn, feeding, hanging, dealt, children, assumptions, strips, sins, evident                    |
|171  |day, east, west, directions, town, inhabitants, days, shall, south, hashana                             |
|172  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|173  |mouth, maneh, avin, center, provide, answering, letter, produces, atonement, preoccupy                  |
|174  |sukka, roofing, twenty, thin, sun, shade, wind, unfit, geder, amtan                                     |
|175  |ledge, hired, laborer, harvester, property, extend, karpef, minimal, sowed, convert                     |
|176  |graceful, whenever, milk, torah, neck, breasts, expounded, chains, compared, matters                    |
|177  |pit, water, extended, limit, reduced, surveyor, waste, pour, hole, absorbed                             |
|178  |branches, principles, tit, valley, disputes, sha, psalms, adasha, tzalmavet, written                    |
|179  |court, desert, purchase, next, scatters, inquired, harp, imparts, hollowed, diaspora                    |
|180  |loaves, ritually, tenant, impure, consecrated, forty, impurity, suspended, sandal, landlord             |
|181  |commandments, damaged, minority, regarding, pillar, possession, negates, hand, inquires, baths          |
|182  |untithed, validity, whether, tithed, doubt, became, teruma, ritual, rendered, keep                      |
|183  |loaf, kav, figs, forbidden, zuz, dates, dried, shall, ate, worth                                        |
|184  |property, accustomed, possession, rights, utilizing, courtyard, died, convert, renunciation, drunk      |
|185  |remembrance, counts, chosen, egypt, shabbatot, mention, addresses, issues, hashana, rosh                |
|186  |altar, prophets, function, ostensibly, category, liquid, dealers, consecration, carry, sota             |
|187  |beam, cross, brick, sturdy, beneath, considers, curved, enough, beams, handbreadth                      |
|188  |authority, renounces, house, renouncing, explicitly, share, eliezer, pin, buried, hinge                 |
|189  |pelandarsin, eighth, since, arose, rim, stalks, duration, glad, gateways, minds                         |
|190  |color, ulla, restrict, conclusive, shemaya, underground, authority, natan, higher, peta                 |
|191  |shimi, subsumed, subsuming, original, limit, significant, new, left, relied, return                     |
|192  |animal, cow, bucket, fill, drink, trough, manger, body, boards, wells                                   |
|193  |rope, ropes, segment, hamnuna, combined, standing, elements, horizontal, greater, thickness             |
|194  |bat, vein, lightly, ye, consecutive, combined, party, negates, situated, blessing                       |
|195  |praise, divorced, absorb, myrtle, ze, wait, arch, alternatively, consists, flowing                      |
|196  |equinox, independent, connected, dimension, palms, ill, punishable, kor, event, pertaining              |
|197  |husbands, diluted, reduction, inlet, appoint, involving, creates, fabric, situation, occupation         |
|198  |created, anyone, moment, preferable, actions, ultimately, man, greatness, seek, conversely              |
|199  |except, hearts, doubtful, generalizations, tavi, touching, pot, ear, designated, shamua                 |
+-----+--------------------------------------------------------------------------------------------------------+

+-----------------------------+-----+-------------------------------+--------------------------------------------------------------------------------------------------------+
|id                           |topic|topics                         |topic_words                                                                                             |
+-----------------------------+-----+-------------------------------+--------------------------------------------------------------------------------------------------------+
|eruvim-merged.txt-001a-0000  |-1   |199:0.0%, 198:0.0%, 197:0.0%   |null                                                                                                    |
|eruvim-merged.txt-001b-0000  |-1   |199:0.0%, 198:0.0%, 197:0.0%   |null                                                                                                    |
|eruvim-merged.txt-002a-0000  |1    |1:32.0%, 60:29.4%, 81:14.8%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-002a-0001  |60   |60:31.4%, 1:24.7%, 187:16.3%   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0002  |60   |60:41.8%, 1:21.1%, 187:13.9%   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0003  |60   |60:59.6%, 187:24.5%, 137:8.8%  |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0004  |60   |60:67.1%, 187:18.5%, 137:7.1%  |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0005  |60   |60:68.8%, 98:19.5%, 137:4.7%   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0006  |60   |60:66.6%, 98:17.0%, 174:10.4%  |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0007  |37   |37:36.4%, 60:30.8%, 98:21.2%   |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0008  |37   |37:49.0%, 60:17.9%, 98:15.2%   |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0009  |37   |37:56.0%, 98:15.3%, 60:14.1%   |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0010  |37   |37:72.5%, 81:9.8%, 174:8.3%    |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0011  |37   |37:72.4%, 174:8.3%, 98:7.8%    |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0012  |37   |37:70.7%, 98:8.5%, 81:8.1%     |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0013  |37   |37:70.9%, 98:18.1%, 174:10.4%  |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0014  |37   |37:54.5%, 60:18.6%, 174:13.8%  |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|eruvim-merged.txt-002a-0015  |60   |60:41.5%, 37:32.3%, 98:11.5%   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0016  |60   |60:60.0%, 167:19.9%, 37:19.3%  |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0017  |60   |60:70.1%, 167:17.9%, 37:11.3%  |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0018  |60   |60:73.8%, 167:25.6%, 98:0.0%   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002a-0019  |167  |167:44.6%, 60:39.4%, 133:4.8%  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0020  |167  |167:56.0%, 60:28.7%, 133:4.8%  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0021  |167  |167:54.9%, 60:23.2%, 113:6.3%  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0022  |167  |167:76.2%, 113:7.1%, 133:6.4%  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0023  |167  |167:84.6%, 133:5.5%, 113:4.1%  |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0024  |167  |167:81.1%, 60:9.6%, 41:8.6%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0025  |167  |167:76.3%, 60:13.2%, 41:9.9%   |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0026  |167  |167:81.9%, 41:9.1%, 60:8.5%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0027  |167  |167:81.6%, 41:9.4%, 60:8.4%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0028  |167  |167:85.0%, 60:8.6%, 41:5.7%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0029  |167  |167:97.2%, 41:2.2%, 98:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0030  |167  |167:96.7%, 41:2.7%, 98:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0031  |167  |167:99.4%, 98:0.0%, 81:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0032  |167  |167:99.4%, 98:0.0%, 81:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0033  |167  |167:99.3%, 98:0.0%, 81:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0034  |167  |167:99.3%, 98:0.0%, 81:0.0%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0035  |167  |167:88.8%, 41:4.0%, 17:3.2%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0036  |167  |167:86.8%, 41:4.3%, 88:4.1%    |outer, inner, courtyard, courtyards, residents, entrance, hall, doorway, prohibited, eiruv              |
|eruvim-merged.txt-002a-0037  |41   |41:46.1%, 167:44.4%, 17:5.7%   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0038  |41   |41:55.8%, 167:35.6%, 17:3.6%   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0039  |41   |41:62.1%, 167:29.7%, 17:3.1%   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0040  |41   |41:79.1%, 167:14.3%, 125:4.1%  |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0041  |41   |41:81.8%, 167:12.1%, 125:2.8%  |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0042  |41   |41:75.5%, 167:16.5%, 125:3.5%  |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0043  |41   |41:77.1%, 167:14.7%, 125:5.5%  |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0044  |41   |41:85.2%, 50:5.6%, 167:4.9%    |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0045  |41   |41:82.2%, 50:8.1%, 72:3.3%     |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002a-0046  |41   |41:77.6%, 50:11.7%, 72:9.4%    |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002b-0000  |41   |41:56.0%, 161:23.1%, 98:11.2%  |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002b-0001  |41   |41:68.3%, 161:18.8%, 98:7.0%   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002b-0002  |41   |41:57.6%, 161:35.8%, 98:4.1%   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|eruvim-merged.txt-002b-0003  |161  |161:59.3%, 41:38.1%, 60:2.1%   |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0004  |161  |161:69.0%, 41:22.8%, 60:7.7%   |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0005  |161  |161:59.4%, 41:22.6%, 60:17.5%  |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0006  |161  |161:63.6%, 60:24.7%, 41:11.2%  |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0007  |161  |161:48.6%, 60:36.2%, 41:9.3%   |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0008  |60   |60:40.1%, 161:38.7%, 167:10.2% |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002b-0009  |60   |60:43.7%, 161:37.4%, 167:12.4% |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|eruvim-merged.txt-002b-0010  |161  |161:58.0%, 60:21.4%, 167:20.1% |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0011  |161  |161:60.7%, 60:20.6%, 167:14.1% |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0012  |161  |161:55.2%, 60:25.9%, 167:14.7% |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0013  |161  |161:41.2%, 60:36.1%, 167:15.8% |scroll, rock, sea, approximately, roll, gate, rolled, hangings, king, size                              |
|eruvim-merged.txt-002b-0014  |60   |60:43.3%, 161:27.0%, 167:14.7% |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
